FROM,TO,WEIGHT
casaconstarica,rkatrileo,2
casaconstarica,providencia_pc,2
casaconstarica,erickaportillab,2
casaconstarica,millaburadolfo,2
mokik777,el_ciudadano,2
sobelto_omar,ampueroadriana,2
carolinamardini,paz_charpentier,2
ijurrarosa,24horastvn,2
ijurrarosa,jorgepablolguin,2
r_lopez_1997,24horastvn,2
trigorosa,halunkevalnor,2
trigorosa,ampueroadriana,2
trigorosa,manuconstituye,2
trigorosa,sindicatocc,2
trigorosa,ursulaeggers,2
legadobachelet,vladomirosevic,2
legadobachelet,la_convergencia,2
alvaroarteagaj,paz_charpentier,2
torombolo_cl,paz_charpentier,2
torombolo_cl,berfontaine,2
lromer2016,el_ciudadano,2
lilian_apau,panchoorregog,2
lilian_apau,berfontaine,2
moalur,ccifuentesh,2
moalur,angeldlacruz_,2
marcebpp,carovilchesf,2
soyajuan,paz_charpentier,2
juliaalmendras,lucasaykal,2
carlosedodiaz,berfontaine,2
ohsolemiooooo,berfontaine,2
ohsolemiooooo,ccifuentesh,2
loretovaldivia9,ccifuentesh,2
malitadeadentro,paz_charpentier,2
nomellamo19,el_ciudadano,2
gonzalo68737901,maldonadocurti,2
gonzalo68737901,paz_charpentier,2
gonzalo68737901,gubernatti,2
gonzalo68737901,sinfiltros_tv,2
gonzalo68737901,el_despierto26,2
janecarvajal,tron_1971,2
janecarvajal,gloconstituyent,2
